"","team","Win_Pct","overall_rec","GB","home_rec","away_rec","total_rs","total_ra","run_diff","home_rs","home_ra","away_rs","away_ra"
"1","Georgia Tech",0.833,"25-5",0,"14-1","11-4",289,136,"+153",149,62,140,74
"2","North Carolina",0.733,"22-8",3,"10-5","12-3",224,142,"+82",89,70,135,72
"3","Florida St.",0.633,"19-11",6,"12-3","7-8",202,148,"+54",121,74,81,74
"4","Boston College",0.567,"17-13",8,"10-5","7-8",183,168,"+15",93,82,90,86
"5","Miami (FL)",0.533,"16-14",9,"9-6","7-8",197,198,"-1",101,82,96,116
"6","Wake Forest",0.533,"16-14",9,"10-5","6-9",220,181,"+39",122,90,98,91
"7","Virginia Tech",0.5,"15-15",10,"9-6","6-9",174,202,"-28",92,78,82,124
"8","NC State",0.467,"14-16",11,"10-5","4-11",192,224,"-32",117,92,75,132
"9","Virginia",0.467,"14-16",11,"8-7","6-9",175,186,"-11",86,86,89,100
"10","Louisville",0.433,"13-17",12,"9-6","4-11",227,220,"+7",130,109,97,111
"11","Notre Dame",0.433,"13-17",12,"8-7","5-10",213,240,"-27",110,123,103,117
"12","Stanford",0.433,"13-17",12,"8-7","5-10",189,220,"-31",98,105,91,115
"13","California",0.4,"12-18",13,"5-10","7-8",145,169,"-24",55,105,90,64
"14","Pittsburgh",0.367,"11-19",14,"6-9","5-10",177,252,"-75",95,142,82,110
"15","Clemson",0.333,"10-20",15,"6-9","4-11",165,195,"-30",83,103,82,92
"16","Duke",0.333,"10-20",15,"7-8","3-12",145,236,"-91",74,99,71,137
