player,date,opponent,result,innings,pitches
Lynch,2/14/26,Indiana,W,5,92
Lynch,2/22/26,East Carolina,T,5,76
Lynch,2/28/26,Le Moyne,W,6,87
Lynch,3/7/26,Virginia,L,4,91
Lynch,3/14/26,at California,W,8,104
Lynch,3/21/26,Louisville,L,6,99
Lynch,3/28/26,at Notre Dame,W,4.2,88
Lynch,4/2/26,Boston College,L,5.1,97
Lynch,4/11/26,at Clemson,W,5,97
Lynch,4/18/26,Georgia Tech,W,4.2,83
Lynch,4/24/26,at Duke,L,7,107
Lynch,5/3/26,Duke,W,3,53
Lynch,5/9/26,Pitt,W,6,88
Lynch,5/15/26,at NC State,W,3.1,99
Lynch,5/23/26,Pitt,W,4,90
Lynch,5/29/26,VCU,W,7,108
Lynch,6/5/26,USC,L,5.2,89
Glauber,2/13/26,Indiana,W,0.2,31
Glauber,2/14/26,Indiana,W,1.2,31
Glauber,2/18/26,Longwood,W,2,32
Glauber,2/24/26,North Carolina AT,W,5,59
Glauber,3/3/26,Elon,W,2,39
Glauber,3/7/26,Virginia,W,5.1,77
Glauber,3/13/26,at California,W,3,35
Glauber,3/18/26,UNCG,W,1,16
Glauber,3/20/26,Louisville,W,2.1,23
Glauber,3/22/26,Louisville,W,4,67
Glauber,3/28/26,at Notre Dame,W,2,37
Glauber,3/29/26,at Notre Dame,W,1.2,23
Glauber,4/3/26,Boston College,W,5.1,97
Glauber,4/11/26,at Clemson,W,6,101
Glauber,4/17/26,Georgia Tech,W,3,58
Glauber,4/21/26,High Point,W,1.2,48
Glauber,4/25/26,at Duke,W,4,70
Glauber,5/3/26,Duke,W,1,13
Glauber,5/8/26,Pitt,W,3.2,40
Glauber,5/10/26,Pitt,W,3.1,54
Glauber,5/14/26,at NC State,W,2,39
Glauber,5/15/26,at NC State,W,3.2,57
Glauber,5/22/26,Virginia Tech,W,5.2,90
Glauber,5/30/26,East Carolina,W,4.1,67
Glauber,6/7/26,USC,W,7.1,95
DeCaro,2/13/26,Indiana,W,5,90
DeCaro,2/20/26,at East Carolina,W,8,101
DeCaro,2/27/26,Le Moyne,W,5,78
DeCaro,3/6/26,Virginia,L,3,72
DeCaro,3/13/26,at California,W,6,85
DeCaro,3/20/26,Louisville,W,5.2,101
DeCaro,3/28/26,at Notre Dame,W,5.2,103
DeCaro,4/3/26,Boston College,W,2.2,46
DeCaro,4/10/26,at Clemson,L,4.1,80
DeCaro,4/17/26,Georgia Tech,W,5,81
DeCaro,4/23/26,at Duke,W,7.2,101
DeCaro,5/3/26,Duke,W,3,48
DeCaro,5/8/26,Pitt,W,5,93
DeCaro,5/14/26,at NC State,W,5,96
DeCaro,5/22/26,Virginia Tech,W,3.1,55
DeCaro,5/30/26,East Carolina,W,3.2,78
DeCaro,6/6/26,USC,W,9,117
McDuffie,2/13/26,Indiana,W,0.1,5
McDuffie,2/14/26,Indiana,W,1,31
McDuffie,2/18/26,Longwood,W,1.1,22
McDuffie,2/21/26,East Carolina,L,2.1,30
McDuffie,2/25/26,VCU,W,1.2,45
McDuffie,3/3/26,Elon,W,3,50
McDuffie,3/7/26,Virginia,W,1.1,28
McDuffie,3/10/26,Bucknell,W,3,38
McDuffie,3/14/26,at California,W,1,9
McDuffie,3/15/26,at California,W,1.2,34
McDuffie,3/18/26,UNCG,W,0.2,19
McDuffie,3/21/26,Louisville,L,3,54
McDuffie,3/24/26,South Carolina,W,2.2,46
McDuffie,3/28/26,at Notre Dame,W,3,58
McDuffie,3/31/26,Campbell,W,2,30
McDuffie,4/2/26,Boston College,L,2,42
McDuffie,4/3/26,Boston College,W,1,21
McDuffie,4/4/26,Boston College,W,2,23
McDuffie,4/11/26,at Clemson,W,3,45
McDuffie,4/12/26,at Clemson,W,3,33
McDuffie,4/17/26,Georgia Tech,W,1,13
McDuffie,4/18/26,Georgia Tech,W,3,58
McDuffie,4/23/26,at Duke,W,1.1,12
McDuffie,4/28/26,Coastal Carolina,L,4.1,69
McDuffie,5/8/26,Pitt,W,0.1,25
McDuffie,5/9/26,Pitt,W,2,26
McDuffie,5/10/26,Pitt,W,1,24
McDuffie,5/14/26,at NC State,W,2,44
McDuffie,5/16/26,at NC State,L,2.2,39
McDuffie,5/23/26,Pitt,W,2.2,45
McDuffie,5/24/26,vs Georgia Tech,L,1.1,28
McDuffie,5/29/26,VCU,W,1,13
McDuffie,5/30/26,East Carolina,W,1,15
McDuffie,5/31/26,East Carolina,W,1.2,20
McDuffie,6/5/26,USC,L,0.1,22
McDuffie,6/7/26,USC,L,0.2,9
Rose,2/17/26,Richmond,W,1,16
Rose,2/21/26,East Carolina,L,1.1,14
Rose,2/25/26,VCU,W,3,35
Rose,3/3/26,Elon,W,2,32
Rose,3/10/26,Bucknell,W,2,42
Rose,3/18/26,UNCG,W,1,15
Rose,3/24/26,South Carolina,W,1,13
Rose,3/31/26,Campbell,W,6,71
Rose,4/4/26,Boston College,W,2,30
Rose,4/7/26,Charlotte,W,3,66
Rose,4/14/26,UNCW,W,5,82
Rose,4/19/26,Georgia Tech,L,2.2,32
Rose,4/21/26,High Point,W,2.1,44
Rose,4/28/26,Coastal Carolina,L,1.2,47
Rose,5/10/26,Pitt,W,0.1,5
Rose,5/12/26,at UNCW,W,1.1,47
Rose,5/16/26,at NC State,L,0.1,9
Rose,5/24/26,vs Georgia Tech,L,2.1,47
Rose,5/31/26,East Carolina,W,4,41
Rose,6/5/26,USC,L,2.2,29
Rose,6/7/26,USC,W,1,13
