order,game_date,pitcher,result,opp,innings,pitch_count,bf,hits,runs,er,bb,k,metadata,inn_1,inn_2,inn_3,inn_4,inn_5,inn_6,inn_7,inn_8,inn_9,
14,May 29th,Ryan Lynch,W (5-4),VCU,7,108,26,2,0,0,4,5,"W, 8-0",3,4,3,5,4,4,3,,,26
13,May 29th,Walker McDuffie,,VCU,1,13,4,0,0,0,1,0,"W, 8-0",,,,,,,,4,,4
12,May 29th,Matthew Matthijs,,VCU,1,12,3,0,0,0,0,3,"W, 8-0",,,,,,,,,3,3
11,May 30th,Jason DeCaro,,East Carolina,3.2,78,20,6,3,3,3,2,"W, 7-5",7,4,6,3,,,,,,20
10,May 30th,Caden Glauber,W (10-0),East Carolina,4.1,67,17,3,2,2,1,8,"W, 7-5",,,,2,3,3,6,3,,17
9,May 30th,Walker McDuffie,S (6),East Carolina,1,15,4,1,0,0,0,2,"W, 7-5",,,,,,,,,4,4
8,May 31st,Folger Boaz,,East Carolina,3.1,58,15,5,1,1,1,4,"W, 9-3",4,3,4,4,,,,,,15
7,May 31st,Walker McDuffie,,East Carolina,1.2,20,8,4,2,2,0,1,"W, 9-3",,,,1,7,,,,,8
6,May 31st,Jackson Rose,W (4-0),East Carolina,4,41,13,0,0,0,1,4,"W, 9-3",,,,,,3,3,4,3,13
5,June 5th,Ryan Lynch,,USC,5.2,89,24,6,4,4,0,7,"L, 5-9",3,3,5,5,3,5,,,,24
4,June 5th,Walker McDuffie,L (7-3),USC,0.1,22,6,4,4,4,1,0,"L, 5-9",,,,,,4,2,,,6
3,June 5th,Matthew Matthijs,,USC,0.1,12,3,0,1,1,1,0,"L, 5-9",,,,,,,3,,,3
2,June 5th,Jackson Rose,,USC,2.2,29,9,1,0,0,0,4,"L, 5-9",,,,,,,2,3,4,9
1,June 6th,Jason DeCaro,W (11-2),USC,9,117,31,2,0,0,1,8,"W, 4-0",4,3,4,3,4,4,3,3,3,31
-1,June 7th,Caden Glauber,,USC,7.1,95,29,6,3,3,1,11,"W, 4-3",5,3,3,4,4,5,4,1,,29
-2,June 7th,Jackson Rose,,USC,1,13,3,0,0,0,0,1,"W, 4-3",,,,,,,,2,1,3
-3,June 7th,Walker McDuffie,"W (1-1, 8-3)",USC,0.2,9,4,0,0,0,1,0,"W, 4-3",,,,,,,,,4,4
