order,game_date,pitcher,result,opp,innings,pitch_count,bf,hits,runs,er,bb,k,metadata,inn_1,inn_2,inn_3,inn_4,inn_5,inn_6,inn_7,inn_8,inn_9
14,May 29th,Ryan Lynch,W (5-4),VCU,7,108,26,2,0,0,4,5,"W, 8-0",3,4,3,5,4,4,3,,
13,May 29th,Walker McDuffie,,VCU,1,13,4,0,0,0,1,0,"W, 8-0",,,,,,,,4,
12,May 29th,Matthew Matthijs,,VCU,1,12,3,0,0,0,0,3,"W, 8-0",,,,,,,,,3
11,May 30th,Jason DeCaro,,East Carolina,3.2,78,20,6,3,3,3,2,"W, 7-5",7,4,6,3,,,,,
10,May 30th,Caden Glauber,W (10-0),East Carolina,4.1,67,17,3,2,2,1,8,"W, 7-5",,,,2,3,3,6,3,
9,May 30th,Walker McDuffie,S (6),East Carolina,1,15,4,1,0,0,0,2,"W, 7-5",,,,,,,,,4
8,May 31st,Folger Boaz,,East Carolina,3.1,58,15,5,1,1,1,4,"W, 9-3",4,3,4,4,,,,,
7,May 31st,Walker McDuffie,,East Carolina,1.2,20,8,4,2,2,0,1,"W, 9-3",,,,1,7,,,,
6,May 31st,Jackson Rose,W (4-0),East Carolina,4,41,13,0,0,0,1,4,"W, 9-3",,,,,,3,3,4,3
5,June 5th,Ryan Lynch,,USC,5.2,89,24,6,4,4,0,7,"L, 5-9",3,3,5,5,3,5,,,
4,June 5th,Walker McDuffie,L (7-3),USC,0.1,22,6,4,4,4,1,0,"L, 5-9",,,,,,4,2,,
3,June 5th,Matthew Matthijs,,USC,0.1,12,3,0,1,1,1,0,"L, 5-9",,,,,,,3,,
2,June 5th,Jackson Rose,,USC,2.2,29,9,1,0,0,0,4,"L, 5-9",,,,,,,2,3,4
1,June 6th,Jason DeCaro,W (11-2),USC,9,117,31,2,0,0,1,8,"W, 4-0",4,3,4,3,4,4,3,3,3
-1,June 7th,Caden Glauber,,USC,7.1,95,29,6,3,3,1,11,"W, 4-3",5,3,3,4,4,5,4,1,
-2,June 7th,Jackson Rose,,USC,1,13,3,0,0,0,0,1,"W, 4-3",,,,,,,,2,1
-3,June 7th,Walker McDuffie,W (8-3),USC,0.2,9,4,0,0,0,1,0,"W, 4-3",,,,,,,,,4
-4,June 12th,Jason DeCaro,,Ole Miss,6.2,106,28,5,2,2,3,9,"W, 6-2",3,4,5,3,5,5,3,,
-5,June 12th,Caden Glauber,W (11-0),Ole Miss,2.1,33,9,3,0,0,0,2,"W, 6-2",,,,,,,2,4,3
-6,June 14th,Ryan Lynch,,West Virginia,4.2,73,19,5,2,2,2,2,"W, 5-2",4,3,5,4,3,,,,
-7,June 14th,Walker McDuffie,W (9-3),West Virginia,3.2,63,15,3,0,0,2,4,"W, 5-2",,,,,1,4,4,3,3
-8,June 14th,Caden Glauber,S (5),West Virginia,0.2,9,2,0,0,0,0,2,"W, 5-2",,,,,,,,,2
-9,June 17th,Folger Boaz,,West Virginia,1,28,6,2,1,1,1,1,"W, 12-7",6,,,,,,,,
-10,June 17th,Jackson Rose,W (5-0),West Virginia,4.1,58,18,2,0,0,2,2,"W, 12-7",,3,4,4,3,4,,,
-11,June 17th,Matthew Matthijs,,West Virginia,1.1,30,7,3,4,4,1,1,"W, 12-7",,,,,,1,6,,
-12,June 17th,Cameron Padgett,,West Virginia,0,6,2,2,1,0,0,0,"W, 12-7",,,,,,,2,,
-13,June 17th,Caden Glauber,,West Virginia,2.1,45,11,3,1,1,1,3,"W, 12-7",,,,,,,2,4,5
-14,June 20th,Jason DeCaro,L (11-3),Oklahoma,3.2,83,19,7,7,7,1,6,"L, 3-9",5,4,4,6,,,,,
-15,June 20th,Walker McDuffie,,Oklahoma,2.1,34,11,4,1,1,0,2,"L, 3-9",,,,2,4,5,,,
-16,June 20th,Tom Chmielewski,,Oklahoma,2,39,8,2,1,1,1,2,"L, 3-9",,,,,,,4,4,1
-17,June 20th,Cameron Padgett,,Oklahoma,1,16,3,1,0,0,0,0,"L, 3-9",,,,,,,,,3
-18,June 21st,Ryan Lynch,,Oklahoma,4,58,17,3,2,2,1,5,"W, 6-2",6,3,4,4,1,,,,
-19,June 21st,Caden Glauber,W (12-0),Oklahoma,5,65,17,1,0,0,2,8,"W, 6-2",,,,,3,4,3,3,4
