date,opponent,result,gs,ab,r,h,rbi,double,triple,hr,bb,ibb,sb,sba,cs,hbp,sh,sf,gdp,k,avg
2/13/26,Indiana,W,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2/14/26,Indiana,W,1,2,3,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0.2
2/14/26,Indiana,W,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1
2/17/26,Richmond,W,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.083
2/18/26,Longwood,W,1,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0.067
2/20/26,at East Carolina,W,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.105
2/21/26,East Carolina,L,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.091
2/22/26,East Carolina,T,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.091
2/24/26,North Carolina AT,W,1,5,1,3,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0.185
2/25/26,VCU,W,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.207
2/27/26,Le Moyne,W,1,3,1,2,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0.25
2/28/26,Le Moyne,W,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.257
3/1/26,Le Moyne,W,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0.25
3/3/26,Elon,W,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.225
3/6/26,Virginia,L,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256
3/7/26,Virginia,L,1,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.261
3/7/26,Virginia,W,1,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.269
3/10/26,Bucknell,W,1,4,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.304
3/13/26,at California,W,1,5,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.328
3/14/26,at California,W,1,4,1,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0.354
3/15/26,at California,W,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0.338
3/18/26,UNCG,W,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342
3/20/26,Louisville,W,1,4,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0.364
3/21/26,Louisville,L,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.363
3/22/26,Louisville,W,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.353
3/24/26,South Carolina,W,1,5,2,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.367
3/28/26,at Notre Dame,W,1,4,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0.362
3/28/26,at Notre Dame,W,1,5,0,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0.364
3/29/26,at Notre Dame,W,1,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.365
3/31/26,Campbell,W,1,5,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,3,0.349
4/2/26,Boston College,L,1,4,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.354
4/3/26,Boston College,W,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.35
