season,ID,Date,Half_Status,Game_Seconds,Time,Home,Away,Event_Team,Event_Type,Event_Description,foul_category,bonus_half,clock_secs,seconds_into_half,counts_toward_team_foul,team_fouls_after,bonus_state
2026,6516602,2026-01-07,1,24,19:36,Vanderbilt,Alabama,Alabama,Commits Foul,"Aden Holloway, foul personal shooting;2freethrow;",shooting,1,1176,24,TRUE,1,none
2026,6516602,2026-01-07,1,145,17:35,Vanderbilt,Alabama,Alabama,Commits Foul,"Latrell Wrightsell Jr., foul personal",personal,1,1055,145,TRUE,2,none
2026,6516602,2026-01-07,1,251,15:49,Vanderbilt,Alabama,Vanderbilt,Commits Foul,"Tyler Nickel, foul personal",personal,1,949,251,TRUE,1,none
2026,6516602,2026-01-07,1,287,15:13,Vanderbilt,Alabama,Alabama,Commits Foul,"Labaron Philon, foul personal",personal,1,913,287,TRUE,3,none
2026,6516602,2026-01-07,1,297,15:03,Vanderbilt,Alabama,Vanderbilt,Commits Foul,"Jalen Washington, foul personal",personal,1,903,297,TRUE,2,none
2026,6516602,2026-01-07,1,363,13:57,Vanderbilt,Alabama,Alabama,Commits Foul,"Amari Allen, foul personal shooting;2freethrow;",shooting,1,837,363,TRUE,4,none
2026,6516602,2026-01-07,1,369,13:51,Vanderbilt,Alabama,Vanderbilt,Commits Foul,"Tyler Tanner, foul personal shooting;2freethrow;",shooting,1,831,369,TRUE,3,none
2026,6516602,2026-01-07,1,507,11:33,Vanderbilt,Alabama,Alabama,Commits Foul,"Noah Williamson, foul personal",personal,1,693,507,TRUE,5,none
2026,6516602,2026-01-07,1,572,10:28,Vanderbilt,Alabama,Alabama,Commits Foul,"Keitenn Bristow, foul personal shooting;1freethrow;",shooting,1,628,572,TRUE,6,none
2026,6516602,2026-01-07,1,629,09:31,Vanderbilt,Alabama,Vanderbilt,Commits Foul,"Chandler Bing, foul personal shooting;2freethrow;",shooting,1,571,629,TRUE,4,none
