season,ID,bonus_half,bonus_team,fouling_team,single_bonus_secs,double_bonus_secs
2023,2335227,1,Tennessee,Tennessee Tech,1172,NA
2023,2335227,1,Tennessee Tech,Tennessee,NA,NA
2023,2335227,2,Tennessee Tech,Tennessee,1089,NA
2023,2335227,2,Tennessee,Tennessee Tech,NA,NA
2023,2335228,1,Florida,Stony Brook,NA,NA
2023,2335228,1,Stony Brook,Florida,NA,NA
2023,2335228,2,Florida,Stony Brook,528,682
2023,2335228,2,Stony Brook,Florida,905,NA
2023,2335229,1,Eastern Mich.,Wayne St. (MI),785,NA
2023,2335229,1,Wayne St. (MI),Eastern Mich.,953,1122
2023,2335229,2,Wayne St. (MI),Eastern Mich.,1060,NA
2023,2335229,2,Eastern Mich.,Wayne St. (MI),1174,NA
2023,2335230,1,Akron,South Dakota St.,1070,NA
2023,2335230,1,South Dakota St.,Akron,1130,NA
2023,2335230,2,Akron,South Dakota St.,1426,NA
2023,2335230,2,South Dakota St.,Akron,964,NA
2023,2335231,1,Old Dominion,UMES,816,1016
2023,2335231,1,UMES,Old Dominion,NA,NA
2023,2335231,2,Old Dominion,UMES,519,1042
2023,2335231,2,UMES,Old Dominion,756,NA
2023,2335232,1,Auburn,George Mason,840,NA
2023,2335232,1,George Mason,Auburn,976,NA
2023,2335232,2,George Mason,Auburn,719,NA
2023,2335232,2,Auburn,George Mason,731,935
2023,2335233,1,Gonzaga,North Florida,661,744
2023,2335233,1,North Florida,Gonzaga,718,1127
2023,2335233,2,North Florida,Gonzaga,649,754
2023,2335233,2,Gonzaga,North Florida,1115,NA
2023,2335234,1,Dayton,Lindenwood,609,1040
2023,2335234,1,Lindenwood,Dayton,NA,NA
2023,2335234,2,Lindenwood,Dayton,905,1195
2023,2335234,2,Dayton,Lindenwood,904,1063
2023,2335235,1,Evansville,Miami (OH),NA,NA
2023,2335235,1,Miami (OH),Evansville,1113,NA
2023,2335235,2,Evansville,Miami (OH),728,1030
2023,2335235,2,Miami (OH),Evansville,602,NA
2023,2335236,1,Loyola Chicago,FDU,625,810
2023,2335236,1,FDU,Loyola Chicago,795,NA
2023,2335236,2,Loyola Chicago,FDU,741,1071
2023,2335236,2,FDU,Loyola Chicago,582,999
2023,2335237,1,UMass Lowell,Fisher,1156,NA
2023,2335237,1,Fisher,UMass Lowell,NA,NA
2023,2335237,2,UMass Lowell,Fisher,NA,NA
2023,2335237,2,Fisher,UMass Lowell,NA,NA
2023,2335238,1,Memphis,Vanderbilt,NA,NA
2023,2335238,1,Vanderbilt,Memphis,NA,NA
2023,2335238,2,Vanderbilt,Memphis,281,928
2023,2335238,2,Memphis,Vanderbilt,818,1015
2023,2335239,1,Western Ill.,Illinois St.,1198,NA
2023,2335239,1,Illinois St.,Western Ill.,865,NA
2023,2335239,2,Illinois St.,Western Ill.,764,951
2023,2335239,2,Western Ill.,Illinois St.,1134,NA
2023,2335240,1,Middle Tenn.,Brescia,916,NA
2023,2335240,1,Brescia,Middle Tenn.,NA,NA
2023,2335240,2,Brescia,Middle Tenn.,963,NA
2023,2335240,2,Middle Tenn.,Brescia,787,NA
2023,2335241,1,Charlotte,Coppin St.,950,NA
2023,2335241,1,Coppin St.,Charlotte,NA,NA
2023,2335241,2,Charlotte,Coppin St.,480,788
2023,2335241,2,Coppin St.,Charlotte,569,1114
2023,2335242,1,UTSA,Trinity (TX),NA,NA
2023,2335242,1,Trinity (TX),UTSA,879,NA
2023,2335242,2,UTSA,Trinity (TX),646,NA
2023,2335242,2,Trinity (TX),UTSA,1147,NA
2023,2335243,1,Missouri,Southern Ind.,1104,NA
2023,2335243,1,Southern Ind.,Missouri,714,935
2023,2335243,2,Southern Ind.,Missouri,906,NA
2023,2335243,2,Missouri,Southern Ind.,561,913
2023,2335244,1,Kansas City,Lincoln (MO),1003,NA
2023,2335244,1,Lincoln (MO),Kansas City,1166,NA
2023,2335244,2,Lincoln (MO),Kansas City,526,1028
2023,2335244,2,Kansas City,Lincoln (MO),542,797
2023,2335245,1,Brandeis,New Hampshire,NA,NA
2023,2335245,1,New Hampshire,Brandeis,1074,NA
2023,2335245,2,New Hampshire,Brandeis,890,NA
2023,2335245,2,Brandeis,New Hampshire,1107,NA
2023,2335246,1,Florida St.,Stetson,784,1116
2023,2335246,1,Stetson,Florida St.,1134,NA
2023,2335246,2,Florida St.,Stetson,745,1041
2023,2335246,2,Stetson,Florida St.,1066,NA
2023,2335247,1,Delaware,Wilmington (DE),876,NA
2023,2335247,1,Wilmington (DE),Delaware,NA,NA
2023,2335247,2,Delaware,Wilmington (DE),1042,NA
2023,2335247,2,Wilmington (DE),Delaware,617,907
2023,2335248,1,Eastern Ill.,Illinois,1133,NA
2023,2335248,1,Illinois,Eastern Ill.,672,813
