"team","conference","fpi","fpi_rank","fpi_pctile","sp_plus","sp_rank","sp_pctile","fei","fei_rank","fei_pctile","avg_pctile"
"Ohio State","Big Ten",28.7,1,100,31.8,1,100,1.52,1,100,100
"Oregon","Big Ten",25.3,4,97.8,28.3,2,99.3,1.4,2,99.3,98.8
"Notre Dame","FBS Independents",25.9,3,98.5,25.8,3,98.5,1.29,4,97.8,98.3
"Georgia","SEC",24.8,5,97.1,25.5,4,97.8,1.34,3,98.5,97.8
"Indiana","Big Ten",23.1,6,96.4,24.5,5,97.1,1.14,5,97.1,96.9
"Texas","SEC",26.9,2,99.3,23.7,6,96.4,0.88,13,91.2,95.6
"Alabama","SEC",20.1,8,94.9,18.2,11,92.7,1.07,6,96.4,94.7
"Miami","ACC",21.8,7,95.6,21,8,94.9,0.88,12,91.2,93.9
"Texas Tech","Big 12",20,10,92.7,23.1,7,95.6,0.89,9,92.7,93.7
"Texas A&M","SEC",20,11,92.7,20.3,9,94.2,0.85,14,90.5,92.5
"Ole Miss","SEC",16,14,90.5,15.9,16,89.1,0.93,8,94.9,91.5
"Oklahoma","SEC",17.8,12,92,17.2,12,92,0.8,15,89.1,91
"Michigan","Big Ten",15.9,15,89.8,16.1,14,90.5,0.89,10,92.7,91
"USC","Big Ten",17,13,91.2,16.8,13,91.2,0.79,17,88.3,90.2
"LSU","SEC",20,9,92.7,20.2,10,93.4,0.55,24,83.2,89.8
"Penn State","Big Ten",13.7,17,88.3,15.7,17,88.3,0.89,11,92.7,89.8
"Tennessee","SEC",15.1,16,89.1,16,15,89.8,0.8,16,89.1,89.3
"BYU","Big 12",13.1,20,86.1,15.5,18,87.6,0.61,20,86.1,86.6
"Utah","Big 12",8.5,31,78.1,11.9,25,82.5,0.97,7,95.6,85.4
"Missouri","SEC",12.2,21,85.4,14.8,20,86.1,0.56,23,83.9,85.1
"Washington","Big Ten",9.9,26,81.8,14.5,21,85.4,0.78,18,87.6,84.9
"Iowa","Big Ten",10.6,25,82.5,13.6,22,84.7,0.74,19,86.9,84.7
"Clemson","ACC",13.4,19,86.9,12.8,23,83.9,0.47,29,79.6,83.5
"Florida","SEC",13.6,18,87.6,14.9,19,86.9,0.36,35,75.2,83.2
"Auburn","SEC",12,22,84.7,11.2,26,81.8,0.51,26,81.8,82.8
"South Carolina","SEC",11.7,23,83.9,12.1,24,83.2,0.43,32,76.6,81.2
"Louisville","ACC",9.5,27,81,11,27,81,0.5,27,81,81
"SMU","ACC",11.1,24,83.2,10.9,28,80.3,0.44,30,78.8,80.8
"Vanderbilt","SEC",9,29,79.6,10,31,78.1,0.59,22,84.7,80.8
"Kansas State","Big 12",5.1,41,70.8,10.4,29,79.6,0.6,21,85.4,78.6
"Florida State","ACC",9.3,28,80.3,8.8,35,75.2,0.47,28,79.6,78.4
"Illinois","Big Ten",6.3,39,72.3,9.3,33,76.6,0.52,25,82.5,77.1
"Arizona","Big 12",7.2,34,75.9,10.2,30,78.8,0.38,34,75.9,76.9
"TCU","Big 12",6.4,38,73,9.1,34,75.9,0.43,31,76.6,75.2
"Nebraska","Big Ten",8.8,30,78.8,7.7,37,73.7,0.25,44,68.6,73.7
"Pittsburgh","ACC",6.6,36,74.5,6.5,41,70.8,0.33,36,73.7,73
"Virginia","ACC",7.9,32,77.4,6.6,40,71.5,0.22,47,65.7,71.5
