vote_order,rank,team,votes,first_place_votes,status
1,1,Ohio State,1672,40,Top 25
2,2,Oregon,1597,14,Top 25
3,3,Georgia,1513,0,Top 25
4,4,Notre Dame,1510,6,Top 25
5,5,Texas,1483,0,Top 25
6,6,Indiana,1440,8,Top 25
7,7,Miami,1379,1,Top 25
8,8,Texas A&M,1131,0,Top 25
9,9,Ole Miss,1102,0,Top 25
10,10,Oklahoma,1047,0,Top 25
11,11,LSU,988,0,Top 25
12,12,Texas Tech,983,0,Top 25
13,13,Alabama,904,0,Top 25
14,14,BYU,839,0,Top 25
15,14,USC,839,0,Top 25
16,16,Michigan,718,0,Top 25
17,17,Washington,501,0,Top 25
18,18,Penn State,482,0,Top 25
19,19,SMU,434,0,Top 25
20,20,Tennessee,394,0,Top 25
21,21,Utah,304,0,Top 25
22,22,Iowa,260,0,Top 25
23,23,Houston,252,0,Top 25
24,24,Louisville,194,0,Top 25
25,25,Missouri,117,0,Top 25
26,NA,Clemson,112,0,Receiving votes
27,NA,Florida,51,0,Receiving votes
28,NA,Boise State,43,0,Receiving votes
29,NA,Arizona,32,0,Receiving votes
30,NA,TCU,11,0,Receiving votes
31,NA,South Carolina,10,0,Receiving votes
32,NA,Navy,10,0,Receiving votes
33,NA,Illinois,9,0,Receiving votes
34,NA,Vanderbilt,8,0,Receiving votes
35,NA,Oklahoma State,8,0,Receiving votes
36,NA,Pittsburgh,7,0,Receiving votes
37,NA,Virginia Tech,6,0,Receiving votes
38,NA,Minnesota,5,0,Receiving votes
39,NA,UNLV,4,0,Receiving votes
40,NA,Louisiana,4,0,Receiving votes
41,NA,New Mexico,4,0,Receiving votes
42,NA,Georgia Tech,4,0,Receiving votes
43,NA,James Madison,3,0,Receiving votes
44,NA,Auburn,3,0,Receiving votes
45,NA,Memphis,2,0,Receiving votes
46,NA,California,2,0,Receiving votes
47,NA,Western Michigan,1,0,Receiving votes
48,NA,Tulane,1,0,Receiving votes
49,NA,Liberty,1,0,Receiving votes
50,NA,Virginia,1,0,Receiving votes
