"","date","opponent","is_conference_game","north_carolina_points","opponent_points","game_status"
"1",2025-09-02,"TCU",FALSE,14,48,"Loss"
"2",2025-09-06,"Charlotte",FALSE,20,3,"Win"
"3",2025-09-13,"Richmond",FALSE,41,6,"Win"
"4",2025-09-20,"UCF",FALSE,9,34,"Loss"
"5",2025-10-04,"Clemson",TRUE,10,38,"Loss"
"6",2025-10-18,"California",TRUE,18,21,"Loss"
"7",2025-10-25,"Virginia",TRUE,16,17,"Loss"
"8",2025-10-31,"Syracuse",TRUE,27,10,"Win"
"9",2025-11-08,"Stanford",TRUE,20,15,"Win"
"10",2025-11-15,"Wake Forest",TRUE,12,28,"Loss"
"11",2025-11-22,"Duke",TRUE,25,32,"Loss"
"12",2025-11-30,"NC State",TRUE,19,42,"Loss"
"13",2026-08-29,"TCU",FALSE,NA,NA,"Upcoming game"
"14",2026-09-12,"East Tennessee State",FALSE,NA,NA,"Upcoming game"
"15",2026-09-19,"Clemson",TRUE,NA,NA,"Upcoming game"
"16",2026-10-03,"Notre Dame",FALSE,NA,NA,"Upcoming game"
"17",2026-10-10,"Pittsburgh",TRUE,NA,NA,"Upcoming game"
"18",2026-10-17,"Duke",TRUE,NA,NA,"Upcoming game"
"19",2026-10-24,"Syracuse",TRUE,NA,NA,"Upcoming game"
"20",2026-10-31,"Miami",TRUE,NA,NA,"Upcoming game"
"21",2026-11-07,"UConn",FALSE,NA,NA,"Upcoming game"
"22",2026-11-14,"Louisville",TRUE,NA,NA,"Upcoming game"
"23",2026-11-21,"Virginia",TRUE,NA,NA,"Upcoming game"
"24",2026-11-28,"NC State",TRUE,NA,NA,"Upcoming game"
